airline_origin,min_taxi,max_taxi,avg_taxi
DH-FNT,0.0,73.0,15.583333
DH-FSD,0.0,160.0,26.239334
DH-FWA,0.0,127.0,18.051332
DH-GRB,0.0,55.0,15.853488
DH-GRR,0.0,169.0,23.484203
DH-HPN,0.0,264.0,23.548227
DH-HSV,0.0,82.0,16.355812
DH-IND,0.0,175.0,20.949606
DH-JFK,0.0,347.0,27.197601
DH-LAN,0.0,163.0,16.949917
DH-LAS,0.0,105.0,30.264957
DH-LNK,0.0,194.0,25.952227
DH-MBS,0.0,192.0,26.316631
DH-MDT,0.0,199.0,19.825573
DH-MEM,0.0,211.0,22.89729
DH-MHT,0.0,290.0,22.826582
DH-MLI,0.0,112.0,22.695295
DH-MSN,0.0,132.0,14.912148
DH-MSY,0.0,93.0,20.781754
DH-ORD,0.0,622.0,25.896536
DH-RDU,0.0,1374.0,17.663452
DH-ROA,0.0,936.0,16.936655
DH-ROC,0.0,148.0,18.655254
DH-RSW,0.0,128.0,23.919672
DH-SAN,15.0,71.0,27.964647
DH-SEA,0.0,40.0,25.251257
DH-SFO,0.0,74.0,28.506384
DH-SJU,19.0,84.0,33.25
DH-TOL,0.0,157.0,14.15448
DH-TPA,0.0,126.0,20.06211
DH-TUL,0.0,176.0,29.40882
DH-TVC,0.0,73.0,20.907822
DH-TYS,0.0,274.0,18.056454
DH-XNA,0.0,48.0,15.471502
DL-ABE,0.0,96.0,18.357063
DL-ALB,0.0,192.0,22.965773
DL-ATL,0.0,1489.0,26.405767
DL-BHM,0.0,160.0,22.589226
DL-BIL,0.0,182.0,18.33545
DL-BNA,0.0,190.0,24.802534
DL-BOS,0.0,270.0,26.220243
DL-BTR,0.0,146.0,19.798773
DL-BUR,0.0,51.0,24.291765
DL-BWI,0.0,284.0,24.668978
DL-CAK,0.0,96.0,23.287823
DL-CHS,0.0,144.0,23.031342
DL-CLE,0.0,190.0,23.553097
DL-CLT,0.0,273.0,29.242788
DL-COS,0.0,195.0,24.429098
DL-DAY,0.0,177.0,23.958149
DL-EGE,0.0,144.0,28.287474
DL-ELP,0.0,146.0,21.519005
DL-EWR,0.0,302.0,30.551342
DL-FAY,13.0,34.0,21.069767
DL-FCA,0.0,60.0,16.47068
DL-FLL,0.0,237.0,27.21385
DL-GEG,0.0,137.0,18.95195
DL-GPT,0.0,108.0,23.099733
DL-GRR,0.0,112.0,19.865877
DL-GTF,0.0,96.0,15.519377
DL-HDN,0.0,138.0,24.496063
DL-HLN,0.0,113.0,14.859392
DL-HSV,0.0,180.0,23.351076
DL-ICT,0.0,77.0,25.70886
DL-IND,0.0,214.0,23.819056
DL-ISP,0.0,146.0,19.993713
DL-JAC,0.0,111.0,21.625786
DL-LEX,0.0,204.0,20.572037
DL-LGA,0.0,302.0,32.313965
DL-LIT,0.0,143.0,21.16341
DL-MGM,0.0,59.0,18.066599
